Epoch: 0 time: 23.86270127806347, train_loss: 0.2561327934265137, val_loss: 0.12181003391742706
Epoch: 51 time: 8.978211379027925, train_loss: 0.05424662828445435, val_loss: 0.04126444458961487
Epoch: 52 time: 8.69452599203214, train_loss: 0.04143322110176086, val_loss: 0.036389123648405075
Epoch: 53 time: 11.525406774948351, train_loss: 0.04047247469425201, val_loss: 0.04969951510429382
Epoch: 54 time: 8.839537019026466, train_loss: 0.045118629932403564, val_loss: 0.03939122334122658
Epoch: 55 time: 8.727784519898705, train_loss: 0.04222943186759949, val_loss: 0.04278288036584854
Epoch: 56 time: 9.4107427400304, train_loss: 0.046192964911460875, val_loss: 0.04154793918132782
Epoch: 57 time: 10.297447511926293, train_loss: 0.04385344982147217, val_loss: 0.03986072540283203
Epoch: 58 time: 11.695226258947514, train_loss: 0.047436338663101194, val_loss: 0.04899269714951515
Epoch: 59 time: 10.12196302798111, train_loss: 0.044803392887115476, val_loss: 0.046443872153759
Epoch: 60 time: 11.687496845959686, train_loss: 0.04899986982345581, val_loss: 0.06345237046480179
Epoch: 61 time: 14.091862456058152, train_loss: 0.04653097987174988, val_loss: 0.03698069602251053
Epoch: 62 time: 9.616999879013747, train_loss: 0.04446576535701752, val_loss: 0.047987502068281174
Epoch: 63 time: 10.068914658972062, train_loss: 0.043699175119400024, val_loss: 0.0333050861954689
Epoch: 64 time: 10.369070122949779, train_loss: 0.03988462686538696, val_loss: 0.03246556594967842
Epoch: 65 time: 10.525517216068693, train_loss: 0.042638731002807614, val_loss: 0.03962152078747749
Epoch: 66 time: 11.639327769982629, train_loss: 0.04631697535514832, val_loss: 0.040303900837898254
Epoch: 67 time: 10.913449996965937, train_loss: 0.047973206639289855, val_loss: 0.04542264714837074
Epoch: 68 time: 9.220189717947505, train_loss: 0.04466775059700012, val_loss: 0.048271745443344116
Epoch: 69 time: 9.078987537068315, train_loss: 0.04164418578147888, val_loss: 0.04075684770941734
Epoch: 70 time: 13.03278602194041, train_loss: 0.04166381359100342, val_loss: 0.049344394356012344
Epoch: 71 time: 9.073664879077114, train_loss: 0.0426104336977005, val_loss: 0.03388413041830063
Epoch: 72 time: 9.379093584022485, train_loss: 0.04459871649742127, val_loss: 0.0509762316942215
Epoch: 73 time: 11.029679993982427, train_loss: 0.04393267035484314, val_loss: 0.03526468202471733
Epoch: 74 time: 13.239222100935876, train_loss: 0.04363832473754883, val_loss: 0.03955548256635666
Epoch: 75 time: 13.271599900908768, train_loss: 0.043446609377861024, val_loss: 0.05706729367375374
Epoch: 76 time: 15.392244996037334, train_loss: 0.04567756354808807, val_loss: 0.045494597405195236
Epoch: 77 time: 11.002064309082925, train_loss: 0.04007813036441803, val_loss: 0.03206171467900276
Epoch: 78 time: 9.268265728023835, train_loss: 0.03867257237434387, val_loss: 0.03378748521208763
Epoch: 79 time: 9.502274013939314, train_loss: 0.03859463036060333, val_loss: 0.03216267749667168
Epoch: 80 time: 9.812842682003975, train_loss: 0.04042766392230988, val_loss: 0.04338715225458145
Epoch: 81 time: 13.295694796019234, train_loss: 0.04096985757350922, val_loss: 0.03992684930562973
Epoch: 82 time: 14.365724422037601, train_loss: 0.03999582827091217, val_loss: 0.031348589807748795
Epoch: 83 time: 11.004548424039967, train_loss: 0.03764509260654449, val_loss: 0.030919719487428665
Epoch: 84 time: 11.436290265060961, train_loss: 0.04226364195346832, val_loss: 0.03247932344675064
Epoch: 85 time: 15.04677899100352, train_loss: 0.0419559895992279, val_loss: 0.038231488317251205
Epoch: 86 time: 16.850452135084197, train_loss: 0.040590611100196836, val_loss: 0.03140994906425476
Epoch: 87 time: 13.790546106058173, train_loss: 0.03938857614994049, val_loss: 0.04376892372965813
Epoch: 88 time: 11.1426317068981, train_loss: 0.03973399102687836, val_loss: 0.04693569615483284
Epoch: 89 time: 9.374656119034626, train_loss: 0.04481704235076904, val_loss: 0.038990121334791183
Epoch: 90 time: 8.931540491990745, train_loss: 0.03841911554336548, val_loss: 0.030950622633099556
Epoch: 91 time: 13.29987483297009, train_loss: 0.04175006747245789, val_loss: 0.035720326006412506
Epoch: 92 time: 15.224648655042984, train_loss: 0.040652939677238466, val_loss: 0.03640216961503029
Epoch: 93 time: 10.311916112084873, train_loss: 0.04270353019237518, val_loss: 0.03508217632770538
Epoch: 94 time: 13.890015204087831, train_loss: 0.03835020661354065, val_loss: 0.047088511288166046
Epoch: 95 time: 13.29395788605325, train_loss: 0.04165032505989075, val_loss: 0.04204539209604263
Epoch: 96 time: 9.284039340098388, train_loss: 0.038149678707122804, val_loss: 0.03519061952829361
Epoch: 97 time: 8.759156484040432, train_loss: 0.045313692092895506, val_loss: 0.0338359959423542
Epoch: 98 time: 9.387707466026768, train_loss: 0.046371066570281984, val_loss: 0.03880685567855835
Epoch: 99 time: 9.599035543971695, train_loss: 0.03975260853767395, val_loss: 0.033228613436222076
Test loss: 0.03287703611633994
